 Event ID : 1909
122.706 -39.7067 1522.56 146 108.3
71.1694 35.456 1460.16 161 85.5
49.0824 -28.3038 1439.36 166 95.2
139.885 -15.5519 1426.88 169 106.3
49.0824 28.3038 1414.4 172 33.6
22.0871 15.5519 1393.6 177 38.4
166.88 56.8448 1381.12 180 122.5
36.8118 120.469 1372.8 182 108.3
142.339 -2.7999 1368.64 183 90.8
78.5318 175.863 1360.32 185 139.8
-4.90825 31.2053 1343.68 189 98.6
66.2612 -9.95207 1343.68 189 85.5
95.7106 -18.4534 1335.36 191 89.8
53.9906 -11.3012 1331.2 192 105
-85.8941 15.5519 1331.2 192 103.4
103.073 79.3117 1314.56 196 89.6
107.981 73.7119 1306.24 198 120.9
68.7153 56.7093 1302.08 199 87
95.7106 -26.9547 1297.92 200 83.4
-68.7153 79.3117 1285.44 203 87.2
-24.5412 65.2106 1285.44 203 1131.8
-26.9953 60.9599 1285.44 203 1370.4
-56.4447 94.9652 1285.44 203 91.9
-26.9953 58.0584 1285.44 203 2796.3
-24.5412 56.7093 1285.44 203 142.2
-24.5412 62.3091 1285.44 203 2716.5
-22.0871 66.5598 1285.44 203 943.8
-22.0871 60.9599 1285.44 203 139.1
-39.2659 70.8104 1285.44 203 85.6
-44.1741 73.7119 1285.44 203 108.2
-29.4494 53.8078 1281.28 204 1950.9
-26.9953 49.5571 1281.28 204 776.5
-22.0871 49.5571 1281.28 204 127.5
-26.9953 43.9573 1281.28 204 373
-41.72 52.4586 1281.28 204 92.7
-31.9035 52.4586 1281.28 204 86.9
-29.4494 56.7093 1281.28 204 941.1
-29.4494 48.208 1281.28 204 2732
-29.4494 45.3065 1281.28 204 2447.8
-31.9035 43.9573 1281.28 204 452.4
-31.9035 49.5571 1281.28 204 218
-68.7153 82.2132 1281.28 204 124.5
-26.9953 41.0558 1281.28 204 362.9
-29.4494 36.8052 1281.28 204 2152.3
-31.9035 41.0558 1281.28 204 551.8
-44.1741 65.2106 1281.28 204 111.1
-29.4494 39.7067 1281.28 204 2352.3
-26.9953 52.4586 1281.28 204 1390.2
-29.4494 31.2053 1277.12 205 686.5
-29.4494 28.3038 1277.12 205 131
-24.5412 28.3038 1277.12 205 1069.2
-26.9953 26.9547 1277.12 205 1356.7
-26.9953 32.5545 1277.12 205 2148.8
-24.5412 31.2053 1277.12 205 260.7
-26.9953 35.456 1277.12 205 1414.2
-26.9953 24.0532 1272.96 206 278.7
-24.5412 19.8025 1268.8 207 270.1
-24.5412 22.704 1268.8 207 1741
-22.0871 18.4534 1268.8 207 1257.9
-22.0871 24.0532 1268.8 207 705.6
-19.6329 22.704 1268.8 207 100.9
-19.6329 19.8025 1268.8 207 763.1
-17.1788 18.4534 1268.8 207 199.2
-19.6329 14.2027 1268.8 207 446.5
-17.1788 15.5519 1264.64 208 1703.9
-14.7247 14.2027 1264.64 208 783.5
-14.7247 11.3012 1264.64 208 1379.5
-12.2706 9.95207 1264.64 208 1746
-22.0871 15.5519 1264.64 208 146
-12.2706 7.05056 1264.64 208 333.7
-1.33514e-05 2.7999 1260.48 209 1479.5
-9.81648 11.3012 1260.48 209 203.2
-9.81648 5.70141 1260.48 209 567
-4.90825 5.70141 1260.48 209 1202.3
-4.90825 2.7999 1260.48 209 583.4
-7.36236 7.05056 1260.48 209 1114.9
17.1788 -15.5519 1260.48 209 87.7
2.45413 -1.45075 1256.32 210 141.9
2.45413 1.45075 1256.32 210 1621.3
4.90825 2.7999 1256.32 210 276.2
7.36237 1.45075 1256.32 210 721.6
-2.45413 1.45075 1256.32 210 668.4
7.36237 -1.45075 1252.16 211 1107.6
9.81648 -2.7999 1252.16 211 512.9
12.2706 -1.45075 1252.16 211 1382.8
132.522 -31.2053 1248 212 102.3
14.7247 -2.7999 1248 212 946.6
17.1788 -1.45075 1248 212 1202.8
22.0871 -1.45075 1248 212 834.9
19.6329 -2.7999 1248 212 947.2
29.4494 -2.7999 1243.84 213 590.4
24.5412 -2.7999 1243.84 213 764.2
34.3577 2.7999 1243.84 213 120.9
26.9953 -1.45075 1243.84 213 1244.6
76.0776 9.95207 1243.84 213 89.4
39.2659 2.7999 1239.68 214 471.8
36.8118 1.45075 1239.68 214 785.3
31.9035 1.45075 1239.68 214 150.5
36.8118 -1.45075 1239.68 214 543.7
34.3577 -2.7999 1239.68 214 290.3
31.9035 -1.45075 1239.68 214 1000.9
44.1741 5.70141 1235.52 215 155.2
44.1741 2.7999 1235.52 215 1150
41.72 1.45075 1235.52 215 1249.6
53.9906 22.704 1235.52 215 94.5
132.522 -121.886 1231.36 216 131.5
46.6282 1.45075 1231.36 216 342.9
53.9906 5.70141 1231.36 216 326.8
51.5365 9.95207 1231.36 216 100.2
53.9906 11.3012 1231.36 216 136
51.5365 7.05056 1231.36 216 1385.8
49.0824 5.70141 1231.36 216 1232.7
46.6282 7.05056 1231.36 216 103.7
58.8988 14.2027 1227.2 217 391.9
58.8988 11.3012 1227.2 217 899.5
161.972 116.354 1227.2 217 154.7
56.4447 9.95207 1227.2 217 1396.1
56.4447 7.05056 1227.2 217 316
66.2612 15.5519 1223.04 218 359.2
63.8071 14.2027 1223.04 218 692.5
61.3529 15.5519 1223.04 218 753.9
61.3529 9.95207 1223.04 218 100.7
71.1694 24.0532 1218.88 219 840.4
66.2612 18.4534 1218.88 219 1072.1
68.7153 22.704 1218.88 219 503.3
68.7153 19.8025 1218.88 219 724.2
71.1694 26.9547 1218.88 219 391.4
73.6235 28.3038 1214.72 220 1053.7
78.5318 31.2053 1214.72 220 255.3
73.6235 31.2053 1214.72 220 448.3
76.0776 26.9547 1214.72 220 108.6
76.0776 35.456 1214.72 220 446.2
73.6235 150.359 1214.72 220 109
83.44 36.8052 1214.72 220 96.5
76.0776 32.5545 1214.72 220 1244.7
17.1788 43.9573 1210.56 221 96.4
83.44 39.7067 1210.56 221 123.1
80.9859 35.456 1210.56 221 177
78.5318 36.8052 1210.56 221 1013.6
85.8941 58.0584 1202.24 223 983.2
83.44 56.7093 1202.24 223 279.1
85.8941 60.9599 1198.08 224 1010.9
83.44 62.3091 1193.92 225 83.7
83.44 73.7119 1193.92 225 100.8
85.8941 69.4613 1193.92 225 763.2
85.8941 75.0611 1193.92 225 1060.7
88.3482 70.8104 1193.92 225 389.8
83.44 79.3117 1189.76 226 400.8
85.8941 77.9626 1189.76 226 1065.2
88.3482 73.7119 1189.76 226 304.4
85.8941 83.5624 1185.6 227 526.3
83.44 87.813 1185.6 227 714
83.44 90.7145 1185.6 227 720.9
85.8941 86.4639 1185.6 227 333.4
83.44 82.2132 1185.6 227 568.7
83.44 96.3143 1185.6 227 123.9
73.6235 104.816 1181.44 228 169.8
73.6235 113.317 1181.44 228 156.7
73.6235 107.717 1181.44 228 1220.8
71.1694 109.066 1181.44 228 441.3
76.0776 109.066 1181.44 228 225.1
80.9859 100.565 1181.44 228 178.1
78.5318 96.3143 1181.44 228 433.5
76.0776 100.565 1181.44 228 216.6
71.1694 111.968 1181.44 228 785.1
78.5318 99.2159 1181.44 228 968.4
80.9859 94.9652 1181.44 228 1029.2
80.9859 92.0637 1181.44 228 512
71.1694 32.5545 1181.44 228 37
66.2612 117.568 1177.28 229 715.1
68.7153 113.317 1177.28 229 515.2
68.7153 116.218 1177.28 229 715.1
78.5318 104.816 1177.28 229 245.2
76.0776 103.467 1177.28 229 731.6
63.8071 124.72 1177.28 229 100.5
66.2612 120.469 1177.28 229 316.3
58.8988 121.818 1173.12 230 132.1
61.3529 120.469 1173.12 230 412.9
63.8071 121.818 1173.12 230 781.5
56.4447 126.069 1168.96 231 575.2
56.4447 128.97 1168.96 231 334.4
51.5365 128.97 1168.96 231 670.6
58.8988 124.72 1168.96 231 611
53.9906 130.32 1168.96 231 492.1
49.0824 130.32 1164.8 232 393.5
49.0824 133.221 1164.8 232 505.4
26.9953 100.565 1164.8 232 72.3
46.6283 134.57 1164.8 232 516.8
41.72 134.57 1164.8 232 560.8
152.155 53.8755 1164.8 232 129.5
39.2659 141.858 1164.8 232 316.1
44.1741 138.889 1164.8 232 441.1
44.1741 133.221 1164.8 232 634.4
29.4494 141.858 1160.64 233 1107.5
34.3576 138.889 1160.64 233 1912.7
26.9953 18.4534 1160.64 233 95.3
132.522 82.3487 1160.64 233 156.9
9.81647 141.858 1156.48 234 1993.2
24.5412 138.889 1156.48 234 722.6
19.6329 141.858 1156.48 234 1738
14.7247 138.889 1156.48 234 332.3
88.3483 198.398 1156.48 234 131.8
24.5412 96.3143 1156.48 234 29.5
-4.90823 138.889 1152.32 235 294.6
1.90735e-06 141.858 1152.32 235 1775.9
3.8147e-06 147.39 1152.32 235 448.8
9.81647 147.39 1152.32 235 246.8
4.90824 138.889 1152.32 235 305
-9.81647 141.858 1152.32 235 1612
-19.6329 141.858 1148.16 236 1442.5
-14.7247 138.889 1148.16 236 576.8
-24.5412 138.889 1144 237 1190.9
-39.2659 130.32 1144 237 172.7
-34.3577 133.221 1144 237 362.3
-36.8118 134.57 1144 237 496.2
-39.2659 133.221 1144 237 539.5
-44.1741 130.32 1139.84 238 736.5
-46.6282 128.97 1139.84 238 385.6
-41.72 128.97 1139.84 238 299.6
-46.6282 126.069 1139.84 238 249.1
-49.0824 124.72 1139.84 238 539
-51.5365 126.069 1139.84 238 538.1
-56.4447 117.568 1135.68 239 172.3
-58.8988 116.218 1135.68 239 381.8
-61.3529 111.968 1135.68 239 103
-66.2612 111.968 1135.68 239 435.6
-61.3529 117.568 1135.68 239 316.7
-53.9906 124.72 1135.68 239 147.3
-53.9906 121.818 1135.68 239 557.3
-56.4447 120.469 1135.68 239 527.4
-63.8071 113.317 1135.68 239 681.6
-63.8071 116.218 1135.68 239 159.5
-71.1694 100.565 1131.52 240 233.7
-76.0777 94.9652 1131.52 240 833.1
-73.6235 99.2159 1131.52 240 712.1
-68.7153 107.717 1131.52 240 505.5
-71.1694 103.467 1131.52 240 587.6
-66.2612 109.066 1131.52 240 657.6
-68.7153 104.816 1131.52 240 480.6
-76.0777 92.0637 1127.36 241 430
-83.44 82.2132 1127.36 241 299.1
-80.9859 86.4639 1127.36 241 416.4
-78.5318 90.7145 1127.36 241 550.6
-78.5318 87.813 1127.36 241 656.8
-73.6235 96.3143 1127.36 241 476.5
-80.9859 83.5624 1123.2 242 500.7
-80.9859 77.9626 1123.2 242 441.7
-85.8941 69.4613 1119.04 243 407.5
-83.44 79.3117 1119.04 243 704.9
-85.8941 66.5598 1114.88 244 648.3
-83.44 65.2106 1114.88 244 264.2
-83.44 70.8104 1114.88 244 483.4
